order_id,order_date,order_time,customer_id,menu_item_id,quantity,total_price,payment_method,order_type
1,6/30/2023,10:00 AM,55,14,4,0,Card,Delivery
2,2/22/2024,3:20 AM,95,8,1,0,Card,Takeaway
3,7/17/2023,3:36 PM,3,11,2,0,Card,Delivery
4,11/4/2024,12:14 PM,43,6,2,0,Cash,Dine-in
5,3/24/2024,9:38 AM,3,2,4,0,Cash,Delivery
6,7/3/2024,4:45 PM,68,13,1,0,Card,Delivery
7,3/1/2023,5:57 PM,92,6,4,0,Cash,Dine-in
8,7/15/2023,12:13 AM,54,12,2,0,Cash,Delivery
9,11/25/2023,3:15 AM,75,5,5,0,Cash,Dine-in
10,9/26/2024,3:33 PM,3,1,5,0,Online,Delivery
11,4/26/2024,12:13 PM,56,11,4,0,Card,Takeaway
12,7/29/2024,7:29 AM,97,11,3,0,Card,Takeaway
13,7/27/2023,10:03 PM,10,11,4,0,Cash,Dine-in
14,11/28/2023,11:04 PM,22,1,3,0,Card,Takeaway
15,3/25/2023,10:51 PM,17,6,1,0,Online,Delivery
16,8/12/2023,1:42 AM,70,3,4,0,Cash,Delivery
17,5/7/2024,6:13 AM,63,10,1,0,Online,Dine-in
18,11/16/2023,12:42 PM,41,13,2,0,Online,Delivery
19,7/12/2024,10:25 PM,9,8,3,0,Card,Dine-in
20,1/20/2023,10:51 PM,75,11,1,0,Online,Takeaway
21,10/25/2023,10:09 PM,31,13,4,0,Card,Takeaway
22,8/23/2024,11:29 PM,86,9,2,0,Online,Takeaway
23,3/17/2023,12:36 AM,19,7,2,0,Online,Dine-in
24,7/13/2023,2:43 PM,43,13,3,0,Card,Dine-in
25,2/19/2024,4:27 AM,63,1,5,0,Online,Dine-in
26,8/4/2023,6:32 AM,50,10,3,0,Card,Delivery
27,3/12/2024,1:28 PM,45,2,4,0,Cash,Delivery
28,8/17/2024,3:18 AM,31,14,2,0,Online,Takeaway
29,4/2/2024,11:07 PM,13,5,3,0,Online,Takeaway
30,6/16/2024,6:24 AM,71,5,4,0,Cash,Dine-in
31,11/10/2023,6:26 AM,84,13,5,0,Online,Takeaway
32,9/26/2023,2:18 AM,95,10,5,0,Cash,Dine-in
33,10/9/2024,3:25 AM,85,5,1,0,Card,Takeaway
34,1/17/2024,11:06 AM,35,4,2,0,Card,Delivery
35,10/21/2023,7:10 AM,39,11,1,0,Online,Delivery
36,2/7/2024,1:26 AM,51,13,2,0,Cash,Dine-in
37,11/4/2024,10:54 PM,21,2,3,0,Online,Delivery
38,10/20/2023,9:01 PM,34,4,4,0,Cash,Takeaway
39,3/22/2023,8:50 PM,8,11,3,0,Online,Dine-in
40,4/9/2024,6:00 AM,50,1,1,0,Card,Dine-in
41,4/18/2024,2:52 AM,4,2,2,0,Online,Dine-in
42,11/28/2024,1:00 AM,56,11,1,0,Cash,Delivery
43,10/26/2024,7:17 PM,76,3,4,0,Cash,Takeaway
44,7/3/2023,3:28 PM,9,15,4,0,Cash,Dine-in
45,4/17/2023,11:56 AM,85,6,3,0,Cash,Delivery
46,6/4/2024,11:25 AM,39,7,4,0,Cash,Dine-in
47,2/18/2024,1:51 PM,5,4,2,0,Card,Takeaway
48,2/18/2024,3:50 PM,96,14,5,0,Card,Takeaway
49,2/27/2023,9:21 AM,70,2,1,0,Cash,Takeaway
50,8/7/2024,1:36 PM,41,1,3,0,Cash,Dine-in
51,3/6/2023,11:49 PM,84,12,2,0,Online,Dine-in
52,10/23/2024,10:56 PM,3,13,2,0,Cash,Delivery
53,9/1/2024,12:28 AM,86,1,5,0,Card,Delivery
54,1/28/2024,11:26 AM,99,12,3,0,Card,Delivery
55,10/21/2023,8:53 AM,30,8,5,0,Cash,Takeaway
56,3/14/2023,7:30 AM,27,9,4,0,Cash,Dine-in
57,5/20/2024,6:52 AM,96,4,2,0,Cash,Dine-in
58,11/20/2023,12:45 AM,71,15,3,0,Online,Takeaway
59,8/9/2023,5:49 PM,82,6,2,0,Card,Dine-in
60,4/28/2023,3:16 PM,19,2,5,0,Card,Takeaway
61,12/6/2023,12:33 PM,57,1,2,0,Card,Takeaway
62,6/10/2023,3:26 PM,17,1,1,0,Card,Takeaway
63,5/8/2023,3:11 AM,32,13,1,0,Cash,Dine-in
64,4/19/2024,1:12 AM,36,6,3,0,Online,Takeaway
65,10/15/2024,12:42 AM,28,6,4,0,Cash,Takeaway
66,3/18/2024,2:13 PM,14,14,1,0,Card,Delivery
67,3/20/2023,10:53 AM,15,4,3,0,Cash,Delivery
68,6/10/2023,3:39 PM,40,12,1,0,Cash,Delivery
69,2/7/2024,6:04 AM,51,12,3,0,Card,Dine-in
70,8/28/2023,2:02 PM,95,1,4,0,Card,Dine-in
71,1/19/2024,7:48 PM,60,3,5,0,Online,Takeaway
72,9/26/2024,5:38 PM,63,6,2,0,Online,Takeaway
73,2/28/2023,2:35 AM,52,11,1,0,Card,Dine-in
74,10/8/2023,4:19 PM,97,2,4,0,Cash,Delivery
75,3/31/2023,9:39 AM,62,8,5,0,Online,Dine-in
76,4/2/2024,6:18 AM,96,7,5,0,Online,Delivery
77,8/4/2023,4:54 PM,77,15,3,0,Card,Dine-in
78,9/19/2023,4:57 AM,99,7,1,0,Card,Takeaway
79,8/2/2024,5:51 AM,79,15,4,0,Card,Dine-in
80,4/6/2023,5:00 AM,71,14,3,0,Cash,Dine-in
81,3/18/2023,4:57 AM,54,4,1,0,Card,Delivery
82,11/27/2023,3:36 AM,35,7,2,0,Online,Takeaway
83,3/11/2023,10:09 AM,26,13,4,0,Card,Takeaway
84,10/28/2024,4:41 AM,60,4,2,0,Cash,Dine-in
85,11/26/2024,4:37 PM,91,13,2,0,Card,Delivery
86,8/7/2024,2:52 AM,36,8,3,0,Card,Dine-in
87,5/15/2024,2:04 PM,65,8,3,0,Card,Takeaway
88,6/3/2024,6:39 PM,73,15,3,0,Card,Takeaway
89,4/10/2023,4:17 AM,6,6,1,0,Card,Takeaway
