order_id,order_date,order_time,customer_id,menu_item_id,quantity,total_price,payment_method,order_type
1,2023-06-30,10:00 AM,55,14,4,error: Field 'price' not found,Card,Delivery
2,2024-02-22,3:20 AM,95,8,1,error: Field 'price' not found,Card,Takeaway
3,2023-07-17,3:36 PM,3,11,2,error: Field 'price' not found,Card,Delivery
4,2024-11-04,12:14 PM,43,6,2,error: Field 'price' not found,Cash,Dine-in
5,2024-03-24,9:38 AM,3,2,4,error: Field 'price' not found,Cash,Delivery
6,2024-07-03,4:45 PM,68,13,1,error: Field 'price' not found,Card,Delivery
7,2023-03-01,5:57 PM,92,6,4,error: Field 'price' not found,Cash,Dine-in
8,2023-07-15,12:13 AM,54,12,2,error: Field 'price' not found,Cash,Delivery
9,2023-11-25,3:15 AM,75,5,5,error: Field 'price' not found,Cash,Dine-in
10,2024-09-26,3:33 PM,3,1,5,error: Field 'price' not found,Online,Delivery
11,2024-04-26,12:13 PM,56,11,4,error: Field 'price' not found,Card,Takeaway
12,2024-07-29,7:29 AM,97,11,3,error: Field 'price' not found,Card,Takeaway
13,2023-07-27,10:03 PM,10,11,4,error: Field 'price' not found,Cash,Dine-in
14,2023-11-28,11:04 PM,22,1,3,error: Field 'price' not found,Card,Takeaway
15,2023-03-25,10:51 PM,17,6,1,error: Field 'price' not found,Online,Delivery
16,2023-08-12,1:42 AM,70,3,4,error: Field 'price' not found,Cash,Delivery
17,2024-05-07,6:13 AM,63,10,1,error: Field 'price' not found,Online,Dine-in
18,2023-11-16,12:42 PM,41,13,2,error: Field 'price' not found,Online,Delivery
19,2024-07-12,10:25 PM,9,8,3,error: Field 'price' not found,Card,Dine-in
20,2023-01-20,10:51 PM,75,11,1,error: Field 'price' not found,Online,Takeaway
21,2023-10-25,10:09 PM,31,13,4,error: Field 'price' not found,Card,Takeaway
22,2024-08-23,11:29 PM,86,9,2,error: Field 'price' not found,Online,Takeaway
23,2023-03-17,12:36 AM,19,7,2,error: Field 'price' not found,Online,Dine-in
24,2023-07-13,2:43 PM,43,13,3,error: Field 'price' not found,Card,Dine-in
25,2024-02-19,4:27 AM,63,1,5,error: Field 'price' not found,Online,Dine-in
26,2023-08-04,6:32 AM,50,10,3,error: Field 'price' not found,Card,Delivery
27,2024-03-12,1:28 PM,45,2,4,error: Field 'price' not found,Cash,Delivery
28,2024-08-17,3:18 AM,31,14,2,error: Field 'price' not found,Online,Takeaway
29,2024-04-02,11:07 PM,13,5,3,error: Field 'price' not found,Online,Takeaway
